,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity
0,1,0.9046104802746175,0.9276563692349433,0.9193926150309792,0.998058231422544,0.7700264398244803
1,1,0.8603841919146961,0.8867871865156692,0.8975790935118428,0.9969888073845513,0.6827706480702443
2,1,0.810157377815473,0.8392731030692047,0.8762831198969279,0.9956900619823861,0.593254873688925
3,1,0.7552531090661897,0.7863915141683763,0.855492414837715,0.9941628518698826,0.5051321776856724
4,1,0.6970466008354949,0.7295010968306055,0.8351949903256728,0.9924081911751117,0.42146933674732234
5,1,0.6369088258938781,0.6699844104191455,0.815379142779921,0.9904272503795364,0.3446070384951491
6,1,0.5761543988830038,0.6091932225498213,0.7960334462988965,0.9882213550177655,0.27610832106805017
7,1,0.515996384293716,0.5483994948939686,0.7771467460721297,0.9857919841999392,0.21678639325454835
8,1,0.4575100055400051,0.48875436226017316,0.7587081519483343,0.9831407689590322,0.16679448976347308
9,1,0.40160646529781563,0.4312567091588407,0.740707032156099,0.9802694904256787,0.12575594181080207
10,1,0.3490173016974102,0.37673216372443363,0.723133007173564,0.9771800778333615,0.09291213634516086
11,1,0.30028896908517394,0.3258225608337445,0.7059759437435442,0.9738746063571085,0.06726876836188271
12,1,0.25578670228422223,0.27898523736235625,0.6892259490306506,0.9703552947890737,0.04772562075215577
13,1,0.2157062397697901,0.2365009614723433,0.6728733649170391,0.9666245030546625,0.03318079262403598
14,1,0.18009166573181265,0.198488895813744,0.6569087624334996,0.9626847295730856,0.02260575251414946
15,1,0.14885748713096328,0.16492676418377683,0.6413229363226715,0.9585386084664859,0.015092048921694096
16,1,0.12181307688414106,0.13567432772852983,0.6261068997312541,0.9541889066220012,0.009873575340951561
17,1,0.09868776295209034,0.11049836086400515,0.6112518790281487,0.9496385206113552,0.006329911968440018
18,1,0.07915509187866447,0.08909751893838481,0.5967493087455455,0.9448904734727859,0.003976654524740865
19,1,0.06285510723190921,0.07112577357411175,0.5825908266400394,0.939947911360317,0.0024481329754646036
20,1,0.04941382211003858,0.056213420546195374,0.5687682688709238,0.9348141000655829,0.0014768931420416295
21,1,0.03845939824099912,0.0439850044013874,0.5552736652928868,0.9294924214175885,0.0008730920917003021
22,1,0.029634846598205228,0.03407382466923726,0.5420992348603909,0.9239863695659767,0.0005057873076069817
23,1,0.022607318027316577,0.026132968585455173,0.5292373811410895,0.918299547153517,0.0002871261000117053
24,1,0.017074247227778963,0.019843040823154773,0.5166806879356917,0.9124356613837037,0.0001597255055200881
25,1,0.012766746905164978,0.014916925569894407,0.5044219150017503,0.9063985199894621,8.70708343013845e-05
26,1,0.009450724290688864,0.011102020811130901,0.49245399387890776,0.9001920271091257,4.651231511686352e-05
27,1,0.006926217092264678,0.008180434447901017,0.4807700238131919,0.8938201790759265,2.434781567154441e-05
28,1,0.005025430456791578,0.005967635902294661,0.46936326777801163,0.8872870601273635,1.2489608707327765e-05
29,1,0.003609911847116899,0.004310025947315413,0.4582271485895594,0.8805968380409099,6.2781894876704265e-06
30,1,0.0025672377333703623,0.0030818327697636426,0.44735524511437863,0.873753759702577,3.0925501239983336e-06
31,1,0.0018075142906314803,0.002181674071985346,0.4367412885669115,0.8667621466149409,1.492779964502186e-06
32,1,0.0012599216922462542,0.0015290521200769834,0.42637915889489036,0.8596263903512799,7.061086811097451e-07
33,1,0.0008694638471734869,0.0010609778705061874,0.41626288125048977,0.8523509479625083,3.272984801316571e-07
34,1,0.0005940262887104577,0.0007288564131460764,0.4063866225452039,0.8449403373436295,1.4866649132559496e-07
35,1,0.000401796327908059,0.000495711792772674,0.3967446880864632,0.8373991325664438,6.617269791303621e-08
36,1,0.00026906203525670785,0.00033378601714171907,0.3873315182940503,0.8297319591852382,2.886298335810996e-08
37,1,0.00017837954184635524,0.0002225146684577696,0.3781416854944228,0.8219434895221943,1.2336734125259736e-08
38,1,0.00011708030005530415,0.0001468590684486886,0.3691698907910934,0.8140384379392162,5.1672060637924645e-09
39,1,7.607969640955477e-05,9.59609436586682e-05,0.3604109610092642,0.8060215561028439,2.1208401091570915e-09
40,1,4.894404698322994e-05,6.207830759629686e-05,0.35185984571295165,0.7978976282488818,8.530149193354361e-10
41,1,3.117289549858379e-05,3.975912740609184e-05,0.34351161429288435,0.7896714664533047,3.362032126553274e-10
42,1,1.9656245706305192e-05,2.5210730952444708e-05,0.3353614531234925,0.7813479059159392,1.2985049371553087e-10
43,1,1.2270723280461212e-05,1.5826527925645864e-05,0.32740466278735125,0.7729318002633333,4.9145283708660853e-11
44,1,7.583783282980873e-06,9.83642934050741e-06,0.31963665536547653,0.7644280168771358,1.8227057517185077e-11
45,1,4.640318890515299e-06,6.0525853479059904e-06,0.31205295179191167,0.7558414322542092,6.624418155876498e-12
